Designator,Mid X,Mid Y,Rotation,Layer
ALIVE1,143.486,-117.0461,90,top
C1,77.4344,-131.5085,180,top
C2,128.1735,-80.1711,90,top
C3,98.6535,-87.5361,270,top
C4,98.6535,-91.3461,270,top
C5,98.6535,-95.1561,270,top
C6,98.6535,-98.9661,270,top
C7,98.6535,-102.7761,270,top
C8,80.1585,-67.1586,270,top
C9,98.6535,-106.5861,270,top
C10,85.526,-73.7786,180,top
C11,107.2085,-88.8086,0,top
C12,118.5185,-84.9836,0,top
C13,78.7145,-123.3671,180,top
C14,80.4554,-115.7605,180,top
C15,98.6535,-110.3961,270,top
C16,98.6535,-114.2061,270,top
C17,89.7635,-84.9961,180,top
C19,113.151,-76.1761,270,top
C20,113.336,-69.3311,270,top
C21,132.2685,-95.4861,0,top
C22,109.3885,-107.2211,180,top
C23,110.7085,-90.0761,270,top
C24,124.6935,-90.2961,180,top
C25,119.3585,-87.7261,270,top
C26,131.306,-106.8361,270,top
C27,132.266,-98.0111,0,top
C28,86.561,-131.7436,90,top
C29,109.4485,-104.6811,0,top
C30,122.7835,-104.0461,180,top
C31,113.1735,-79.5461,90,top
C32,118.6435,-72.2961,180,top
C33,124.7135,-74.8361,180,top
C34,126.5935,-123.0961,0,top
C35,122.7835,-123.0961,0,top
C36,118.9735,-123.0961,0,top
C37,115.1635,-123.0961,180,top
C38,118.601,-115.5161,180,top
C39,115.1635,-118.0161,180,top
C40,118.6435,-69.7561,180,top
C41,124.7135,-69.7561,180,top
C42,129.1335,-69.7561,180,top
C43,103.7335,-124.3661,90,top
C44,97.3835,-119.2961,270,top
C45,98.9585,-129.3036,90,top
C46,81.7474,-131.5085,180,top
C47,94.8835,-119.2961,270,top
C48,81.6864,-87.5275,90,top
C_VFC_L1,135.1003,-40.386,0,top
C_VFC_in1,136.7536,-25.10536,90,top
C_VFC_t1,140.19276,-25.10536,90,top
Ct1,143.90116,-25.26792,270,top
Ct3,193.6877,-122.3644,90,top
Ct4,193.8655,-114.6555,90,top
Ct5,193.802,-105.8291,90,top
Ct6,132.8293,-25.08006,90,top
Ct7,192.7098,-99.1744,270,top
D1,74.4235,-76.1086,180,top
D2,89.7635,-77.3761,270,top
D3,93.5735,-127.5411,90,top
FID1,140.361,-122.9836,0,top
FID2,72.236,-68.9211,0,top
IC1,91.0335,-65.9461,0,top
IC2,108.7985,-122.9836,270,top
IC3,83.9724,-79.3115,270,top
IC4,116.4335,-97.6961,180,top
IC5,89.576,-131.4436,180,top
IC6,83.0834,-95.5675,270,top
IC7,165.1127,-115.8494,90,top
IC8,110.0835,-115.4761,180,top
IC9,124.111,-110.4836,180,top
J2,197.8348,-75.0189,0,top
L1,125.0485,-83.2961,0,top
L2,103.251,-71.8736,180,top
L3,124.131,-86.7361,90,top
L4,93.386,-131.4436,90,top
LOGO1,77.0128,-59.9059,0,top
PWR1,139.4235,-117.0461,90,top
Q1,131.236,-102.2136,90,top
R1,82.5245,-126.6521,0,top
R2,89.7635,-110.3961,0,top
R3,89.7635,-107.8561,0,top
R4,89.7635,-105.3161,0,top
R5,89.7635,-102.7761,0,top
R6,89.7635,-100.2361,0,top
